season,episode,title,air_date,writers,directors,rating,total_votes
3,17,Enemies,1999-03-16,"[Joss Whedon, Douglas Petrie, Jane Espenson]",[David Grossman],8.6,3272
3,18,Earshot,1999-09-28,"[Joss Whedon, Jane Espenson, Douglas Petrie]",[Regis Kimble],8.7,3510
3,19,Choices,1999-05-04,"[Joss Whedon, David Fury, Jane Espenson]",[James A. Contner],8.1,3117
3,20,The Prom,1999-05-11,"[Joss Whedon, Marti Noxon, Jane Espenson]",[David Solomon],8.7,3488
3,21,Graduation Day: Part 1,1999-05-18,"[Joss Whedon, Jane Espenson, Douglas Petrie]",[Joss Whedon],8.9,3574
3,22,Graduation Day: Part 2,1999-05-24,"[Joss Whedon, Jane Espenson, Douglas Petrie]",[Joss Whedon],9.2,3785
4,1,The Freshman,1999-10-05,"[Joss Whedon, Douglas Petrie]",[Joss Whedon],7.6,3224
4,2,Living Conditions,1999-10-12,"[Joss Whedon, Marti Noxon, Douglas Petrie]",[David Grossman],7.5,3230
4,3,The Harsh Light of Day,1999-10-19,"[Joss Whedon, Jane Espenson, Douglas Petrie]",[James A. Contner],7.9,3064
4,4,Fear Itself,1999-10-26,"[Joss Whedon, David Fury, Douglas Petrie]",[Tucker Gates],8.4,3392
4,5,Beer Bad,1999-11-02,"[Joss Whedon, Tracey Forbes, Douglas Petrie]",[David Solomon],6.2,3539
4,6,Wild at Heart,1999-11-09,"[Joss Whedon, Marti Noxon, Douglas Petrie]",[David Grossman],7.9,3105
4,7,The Initiative,1999-11-16,"[Joss Whedon, Douglas Petrie]",[James A. Contner],7.9,2626
4,8,Pangs,1999-11-23,"[Joss Whedon, Jane Espenson, Douglas Petrie]",[Michael Lange],8,3221
4,9,Something Blue,1999-11-30,"[Joss Whedon, Tracey Forbes, Douglas Petrie]",[Nick Marck],8.9,3738
4,10,Hush,1999-12-14,"[Joss Whedon, Douglas Petrie]",[Joss Whedon],9.7,7435
4,11,Doomed,2000-01-18,"[Joss Whedon, Marti Noxon, David Fury]",[James A. Contner],7.5,2962
4,12,A New Man,2000-01-25,"[Joss Whedon, Jane Espenson, Douglas Petrie]",[Michael Gershman],8.2,3083
4,13,The I in Team,2000-02-08,"[Joss Whedon, David Fury, Douglas Petrie]",[James A. Contner],7.4,2726
4,14,Goodbye Iowa,2000-02-15,"[Joss Whedon, Marti Noxon, Douglas Petrie]",[David Solomon],7,2798
4,15,This Year's Girl,2000-02-22,"[Joss Whedon, Douglas Petrie]",[Michael Gershman],8.4,3181
4,16,Who Are You?,2000-02-29,"[Joss Whedon, Douglas Petrie]",[Joss Whedon],8.9,3459
4,17,Superstar,2000-04-04,"[Joss Whedon, Jane Espenson, Douglas Petrie]",[David Grossman],7.2,3369
4,18,Where the Wild Things Are,2000-04-25,"[Joss Whedon, Tracey Forbes, Douglas Petrie]",[David Solomon],6.3,3220
4,19,New Moon Rising,2000-05-02,"[Joss Whedon, Marti Noxon, Douglas Petrie]",[James A. Contner],8.2,2989
4,20,The Yoko Factor,2000-05-09,"[Joss Whedon, Douglas Petrie]",[David Grossman],8,2941
4,21,Primeval,2000-05-16,"[Joss Whedon, David Fury, Douglas Petrie]",[James A. Contner],8.2,3026
4,22,Restless,2000-05-23,"[Joss Whedon, Douglas Petrie]",[Joss Whedon],8.7,4188
5,1,Buffy vs. Dracula,2000-09-26,"[Joss Whedon, Marti Noxon]",[David Solomon],7.5,3140
5,2,Real Me,2000-10-03,"[Joss Whedon, David Fury]",[David Grossman],7.4,2603
5,3,The Replacement,2000-10-10,"[Joss Whedon, Jane Espenson]",[James A. Contner],8,2841
5,4,Out of My Mind,2000-10-17,"[Joss Whedon, Rebecca Kirshner]",[David Grossman],7.5,2644
5,5,No Place Like Home,2000-10-24,"[Joss Whedon, Douglas Petrie]",[David Solomon],8.1,2576
5,6,Family,2000-11-07,[Joss Whedon],[Joss Whedon],8.1,2786
5,7,Fool for Love,2000-11-14,"[Joss Whedon, Douglas Petrie]",[Nick Marck],9.1,3618
5,8,Shadow,2000-11-21,"[Joss Whedon, David Fury]",[Daniel Attias],7.3,2415
5,9,Listening to Fear,2000-11-28,"[Joss Whedon, Rebecca Kirshner]",[David Solomon],7,2506
5,10,Into the Woods,2000-12-19,"[Joss Whedon, Marti Noxon]",[Marti Noxon],7.4,2657
5,11,Triangle,2001-01-09,"[Joss Whedon, Jane Espenson]",[Christopher Hibler],7.6,2628
5,12,Checkpoint,2001-01-23,"[Joss Whedon, Douglas Petrie, Jane Espenson]",[Nick Marck],8.3,2723
5,13,Blood Ties,2001-02-06,"[Joss Whedon, Steven S. DeKnight]",[Michael Gershman],8.2,2657
5,14,Crush,2001-02-13,"[Joss Whedon, David Fury]",[Daniel Attias],8.4,2820
5,15,I Was Made to Love You,2001-02-20,"[Joss Whedon, Jane Espenson]",[James A. Contner],7.4,2590
5,16,The Body,2001-02-27,[Joss Whedon],[Joss Whedon],9.7,6670
5,17,Forever,2001-04-17,"[Joss Whedon, Marti Noxon]",[Marti Noxon],8,2790
5,18,Intervention,2001-04-24,"[Joss Whedon, Jane Espenson]",[Michael Gershman],8.6,2821
5,19,Tough Love,2001-05-01,"[Joss Whedon, Rebecca Kirshner]",[David Grossman],8,2477
5,20,Spiral,2001-05-08,"[Joss Whedon, Steven S. DeKnight]",[James A. Contner],8.2,2534
5,21,The Weight of the World,2001-05-15,"[Joss Whedon, Douglas Petrie]",[David Solomon],7.9,2467
5,22,The Gift,2001-05-22,[Joss Whedon],[Joss Whedon],9.5,4553
6,1,Bargaining: Part 1,2001-10-01,"[Joss Whedon, Marti Noxon, Rebecca Kirshner]",[David Grossman],8.2,2667
6,2,Bargaining: Part 2,2002-01-10,"[Joss Whedon, David Fury, Rebecca Kirshner]",[David Grossman],8.3,2556
